"...1","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
4476163,2405539,"HH713006","01/01/2002 10:19:00 AM","072XX S SOUTH SHORE DR","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,334,3,7,43,"02",1194878,1857803,2002,"04/15/2016 08:55:02 AM",41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
4476717,2406262,"HH718816","10/13/2002 04:45:00 PM","073XX W GREENLEAF AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,1611,16,41,9,"02",1126527,1946274,2002,"04/15/2016 08:55:02 AM",42.008915962,-87.809823461,"(42.008915962, -87.809823461)"
4476792,2406357,"HH718802","10/02/2002 05:00:00 PM","009XX W GARFIELD BLVD","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",TRUE,FALSE,712,7,16,68,"02",1171126,1868231,2002,"04/15/2016 08:55:02 AM",41.793895746,-87.648024742,"(41.793895746, -87.648024742)"
4476834,2406412,"HH719156","09/16/2002 01:00:00 AM","009XX W GARFIELD BLVD","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",TRUE,FALSE,712,7,16,68,"02",1171126,1868231,2002,"04/15/2016 08:55:02 AM",41.793895746,-87.648024742,"(41.793895746, -87.648024742)"
4477185,2406889,"HH717939","09/01/2002 04:00:00 PM","012XX W 74TH PL","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,TRUE,734,7,17,67,"02",1169121,1855375,2002,"04/15/2016 08:55:02 AM",41.758660923,-87.655748388,"(41.758660923, -87.655748388)"
4477283,2407009,"HH719221","10/16/2002 10:45:00 PM","051XX N FRANCISCO AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","PARK PROPERTY",FALSE,FALSE,2031,20,40,4,"02",1156111,1933907,2002,"04/15/2016 08:55:02 AM",41.974432325,-87.701310455,"(41.974432325, -87.701310455)"
4477413,2407178,"HH719309","10/17/2002 02:30:00 AM","048XX S DREXEL BLVD","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",TRUE,FALSE,2124,2,4,39,"02",1183133,1873130,2002,"04/15/2016 08:55:02 AM",41.807067906,-87.603843747,"(41.807067906, -87.603843747)"
4477777,2407685,"HH719928","10/17/2002 12:00:00 AM","049XX N LAWNDALE AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",TRUE,FALSE,1712,17,39,14,"02",1150830,1932553,2002,"04/15/2016 08:55:02 AM",41.970822133,-87.72076597,"(41.970822133, -87.72076597)"
4478213,2408238,"HH724003","10/19/2002 04:51:52 AM","054XX S CLAREMONT AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,915,9,16,63,"02",1161776,1868358,2002,"04/15/2016 08:55:02 AM",41.794443669,-87.682307191,"(41.794443669, -87.682307191)"
4478308,2408353,"HH723226","10/18/2002 07:10:03 PM","002XX E 107TH ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",TRUE,TRUE,513,5,9,49,"02",1179608,1834064,2002,"04/15/2016 08:55:02 AM",41.69994781,-87.617963597,"(41.69994781, -87.617963597)"
