"...1","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
3756,4791194,"HM403711","01/01/2001 11:00:00 AM","114XX S ST LAWRENCE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",TRUE,TRUE,531,5,9,50,"02",1182247,1829375,2001,"08/29/2006 03:46:28 AM",41.687020002,-87.60844523,"(41.687020002, -87.60844523)"
46554,4740930,"HM350304","09/19/2003 03:00:00 PM","059XX S MAY ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,712,7,16,68,"02",1169669,1865335,2003,"04/15/2016 08:55:02 AM",41.785980536,-87.653451443,"(41.785980536, -87.653451443)"
65205,4769404,"HM382132","01/01/2003 12:01:00 AM","052XX W CHICAGO AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","DAY CARE CENTER",FALSE,FALSE,1524,15,37,25,"02",1141461,1904831,2003,"04/15/2016 08:55:02 AM",41.894928829,-87.755903553,"(41.894928829, -87.755903553)"
67177,4892881,"HM488474","01/01/2001 12:01:00 AM","109XX S NORMAL AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",TRUE,FALSE,2233,22,34,49,"02",1174871,1832183,2001,"08/12/2006 04:03:08 AM",41.694892728,-87.635364292,"(41.694892728, -87.635364292)"
71683,4779310,"HM386747","01/10/2003 11:00:00 AM","133XX S BRANDON AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE",FALSE,FALSE,433,4,10,55,"02",1199440,1817101,2003,"04/15/2016 08:55:02 AM",41.652924602,-87.545915891,"(41.652924602, -87.545915891)"
152752,4908440,"HM525021","01/01/2003 12:00:00 AM","024XX W JACKSON BLVD","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1125,11,2,28,"02",1160211,1898628,2003,"04/15/2016 08:55:02 AM",41.87754033,-87.687211083,"(41.87754033, -87.687211083)"
239284,5190122,"HM779435","01/01/2001 12:01:00 AM","064XX S EVANS AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,312,3,20,42,"02",1182290,1862306,2001,"08/02/2009 01:04:05 AM",41.777385501,-87.607270854,"(41.777385501, -87.607270854)"
376661,5450711,"G541602","09/09/2001 07:19:32 PM","073XX S CAMPBELL AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,835,8,18,66,"02",1160935,1856101,2001,"05/03/2007 07:26:52 AM",41.760826191,-87.685729607,"(41.760826191, -87.685729607)"
406563,5508664,"HN320275","01/01/2001 12:00:00 AM","009XX N HARDING AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1112,11,27,23,"02",1149843,1906023,2001,"06/11/2007 03:52:33 PM",41.898040875,-87.725087394,"(41.898040875, -87.725087394)"
411417,5518724,"HN334158","06/17/2001 10:00:00 AM","021XX N CALIFORNIA AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,TRUE,1414,14,35,22,"02",1157304,1914473,2001,"06/04/2007 01:38:54 AM",41.921079951,-87.697453621,"(41.921079951, -87.697453621)"
510480,5682998,"HN491967","10/19/2001 12:01:00 AM","030XX N HAUSSEN CT","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,FALSE,2523,25,30,21,"02",1150125,1919903,2001,"09/14/2007 01:49:03 AM",41.936123388,-87.723689228,"(41.936123388, -87.723689228)"
562638,3644280,"HK740289","11/01/2004 11:00:00 PM","005XX S MICHIGAN AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","HOTEL/MOTEL",FALSE,FALSE,123,1,2,32,"02",1177364,1897937,2004,"05/14/2016 03:51:42 PM",41.875272573,-87.624251314,"(41.875272573, -87.624251314)"
577798,5785840,"HN435358","01/01/2001 12:00:00 AM","079XX S MANISTEE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,422,4,7,46,"02",1195849,1852812,2001,"10/26/2007 01:04:16 AM",41.751008408,-87.557878302,"(41.751008408, -87.557878302)"
586964,5799746,"HN610415","01/01/2001 12:01:00 AM","089XX S HOUSTON AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","OTHER",FALSE,FALSE,424,4,10,46,"02",1198039,1846087,2001,"01/09/2008 01:04:52 AM",41.732500059,-87.550077545,"(41.732500059, -87.550077545)"
679583,5953341,"HN752698","04/14/2001 12:00:00 AM","028XX S HOMAN AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1032,10,22,30,"02",1154118,1885034,2001,"12/28/2007 01:04:18 AM",41.840360546,-87.709945456,"(41.840360546, -87.709945456)"
687712,5969635,"HN763926","09/01/2001 12:01:00 AM","046XX N BROADWAY","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",TRUE,FALSE,2312,19,46,3,"02",1167920,1931080,2001,"06/02/2010 10:34:17 AM",41.966427663,-87.657967351,"(41.966427663, -87.657967351)"
687758,5969743,"HN763927","04/22/2001 12:01:00 AM","040XX S KEDZIE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,FALSE,821,8,14,58,"02",1155623,1877879,2001,"12/24/2007 01:03:56 AM",41.820696232,-87.704614831,"(41.820696232, -87.704614831)"
768860,6113785,"HP204311","06/01/2001 10:00:00 AM","029XX W FLETCHER ST","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,1411,14,33,21,"02",1156385,1920841,2001,"03/28/2008 01:04:39 AM",41.938572866,-87.700657599,"(41.938572866, -87.700657599)"
808956,1954658,"HH143979","01/23/2002 05:30:00 PM","071XX S EAST END AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",TRUE,FALSE,324,3,NA,NA,"02",1188770,1857951,2002,"08/06/2016 03:49:51 PM",41.765282432,-87.583654702,"(41.765282432, -87.583654702)"
813641,6269480,"HP355446","01/01/2001 12:00:00 PM","082XX S YATES BLVD","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,414,4,7,46,"02",1193569,1850964,2001,"07/20/2008 01:03:50 AM",41.745993429,-87.56629355,"(41.745993429, -87.56629355)"
813650,6270031,"HP357512","07/29/2001 11:00:00 PM","024XX N CAMPBELL AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,FALSE,1431,14,1,22,"02",1159328,1916195,2001,"07/22/2008 01:03:34 AM",41.925763818,-87.689969498,"(41.925763818, -87.689969498)"
815645,6483603,"HP551594","01/01/2001 12:00:00 AM","057XX N RIDGE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,TRUE,2013,20,48,77,"02",1166070,1938282,2001,"02/01/2009 01:04:02 AM",41.986229998,-87.664562732,"(41.986229998, -87.664562732)"
816098,6536057,"HP608624","08/01/2001 08:00:00 AM","103XX S LUELLA AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","OTHER",FALSE,FALSE,434,4,10,51,"02",1193235,1836828,2001,"11/07/2008 01:04:43 AM",41.707211081,-87.567977908,"(41.707211081, -87.567977908)"
817271,6652786,"HP701191","08/01/2001 12:00:00 AM","053XX S SAWYER AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,822,8,14,63,"02",1155653,1869232,2001,"01/16/2009 01:04:44 AM",41.796967099,-87.704736791,"(41.796967099, -87.704736791)"
817842,6706402,"HR107369","10/01/2001 01:00:00 PM","062XX S MICHIGAN AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,FALSE,311,3,20,40,"02",1178307,1863395,2001,"06/19/2009 01:04:53 AM",41.780465182,-87.621839366,"(41.780465182, -87.621839366)"
819038,6798090,"HR119452","09/11/2001 12:01:00 AM","092XX S PHILLIPS AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,423,4,7,48,"02",1194077,1844042,2001,"03/14/2009 01:04:25 AM",41.726986416,-87.564658702,"(41.726986416, -87.564658702)"
819757,6884455,"HR291448","01/01/2001 12:00:00 AM","045XX W JACKSON BLVD","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1113,11,28,26,"02",1146219,1898343,2001,"05/19/2009 01:03:45 AM",41.877035811,-87.738593651,"(41.877035811, -87.738593651)"
820023,6931740,"HR333713","11/07/2001 12:00:00 AM","016XX S MORGAN ST","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",TRUE,FALSE,1233,12,25,31,"02",1170187,1891994,2001,"03/11/2010 02:01:21 PM",41.859124203,-87.650775702,"(41.859124203, -87.650775702)"
820240,6959542,"HR365054","05/26/2001 12:01:00 AM","068XX S SANGAMON ST","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,723,7,17,68,"02",1171199,1859403,2001,"10/23/2010 12:50:13 AM",41.769669091,-87.648015057,"(41.769669091, -87.648015057)"
821673,7115325,"HR260296","04/21/2001 12:00:00 AM","063XX N OAKLEY AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,TRUE,2413,24,50,2,"02",1159794,1941933,2001,"11/13/2009 01:03:42 AM",41.996380635,-87.687544421,"(41.996380635, -87.687544421)"
822529,7222329,"HR583697","09/01/2001 01:00:00 AM","053XX S PULASKI RD","0266","CRIM SEXUAL ASSAULT","PREDATORY","HOTEL/MOTEL",FALSE,FALSE,822,8,23,62,"02",1150651,1868780,2001,"12/13/2009 01:03:20 AM",41.79582565,-87.723091675,"(41.79582565, -87.723091675)"
823229,7357666,"HR679452","10/05/2001 12:01:00 AM","007XX N CENTRAL PARK AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,1112,11,27,23,"02",1152205,1904840,2001,"03/15/2010 01:14:26 AM",41.894748327,-87.716443166,"(41.894748327, -87.716443166)"
823266,7365413,"HS168361","06/01/2001 12:01:00 AM","047XX W POLK ST","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE",FALSE,FALSE,1131,11,24,25,"02",1144767,1895899,2001,"03/04/2010 01:15:30 AM",41.87035666,-87.743986642,"(41.87035666, -87.743986642)"
825103,7602291,"HS406979","01/01/2001 12:01:00 AM","060XX S DAMEN AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,TRUE,714,7,15,67,"02",1164102,1864559,2001,"08/07/2010 01:17:26 AM",41.783970076,-87.673884641,"(41.783970076, -87.673884641)"
825488,7688085,"HS494296","01/01/2001 09:00:00 AM","020XX N KEELER AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",FALSE,TRUE,2522,25,30,20,"02",1148008,1913380,2001,"10/15/2010 12:49:27 AM",41.918264726,-87.731637693,"(41.918264726, -87.731637693)"
826891,7846498,"HS659526","06/14/2001 12:00:00 AM","055XX N PARKSIDE AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1622,16,45,11,"02",1137571,1936662,2001,"02/11/2011 12:39:06 AM",41.982347378,-87.769421665,"(41.982347378, -87.769421665)"
827007,7871322,"HT102185","10/01/2001 10:00:00 PM","035XX W CERMAK RD","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,TRUE,1024,10,24,29,"02",1152876,1889185,2001,"01/06/2011 12:39:35 AM",41.851776042,-87.714393355,"(41.851776042, -87.714393355)"
827305,7916005,"HT146333","06/25/2001 12:00:00 AM","043XX S EMERALD AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,TRUE,935,9,11,61,"02",1172073,1875783,2001,"03/23/2011 12:42:18 PM",41.814598447,-87.644330166,"(41.814598447, -87.644330166)"
827830,8045719,"HT277441","03/13/2001 12:01:00 AM","051XX W FULLERTON AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","SCHOOL, PRIVATE, GROUNDS",TRUE,FALSE,2522,25,31,19,"02",1141631,1915431,2001,"06/08/2011 12:38:29 AM",41.924013272,-87.755016695,"(41.924013272, -87.755016695)"
828138,8146039,"HT380969","01/01/2001 12:00:00 AM","047XX W MONTANA ST","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,FALSE,2521,25,31,19,"02",1144295,1915861,2001,"07/15/2011 12:39:33 AM",41.925143516,-87.745217143,"(41.925143516, -87.745217143)"
828292,8197725,"HT431595","01/01/2001 12:00:00 AM","009XX N HOMAN AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",FALSE,TRUE,1121,11,27,23,"02",1153583,1905844,2001,"09/20/2011 12:43:48 AM",41.8974761,-87.711355397,"(41.8974761, -87.711355397)"
3548075,1311178,"G000397","01/01/2001 03:00:00 AM","065XX N HOYNE AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",TRUE,TRUE,2412,24,NA,NA,"02",1161151,1943498,2001,"08/17/2015 03:03:40 PM",42.000646853,-87.682508861,"(42.000646853, -87.682508861)"
3548181,1311500,"G001240","01/01/2001 04:00:00 AM","008XX S SPRINGFIELD AV","0262","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER FIREARM","RESIDENCE PORCH/HALLWAY",TRUE,FALSE,1133,11,NA,NA,"02",1150558,1895922,2001,"08/17/2015 03:03:40 PM",41.870308703,-87.722725223,"(41.870308703, -87.722725223)"
3548182,1311503,"G001102","01/01/2001 01:00:00 AM","026XX N HALSTED ST","0264","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER DANG WEAPON","BAR OR TAVERN",FALSE,FALSE,1933,19,NA,NA,"02",1170510,1918326,2001,"08/17/2015 03:03:40 PM",41.931373805,-87.648818936,"(41.931373805, -87.648818936)"
3548194,1311530,"G000479","01/01/2001 03:30:00 AM","011XX W WRIGHTWOOD AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,1933,19,NA,NA,"02",1168058,1917378,2001,"08/17/2015 03:03:40 PM",41.92882581,-87.65785699,"(41.92882581, -87.65785699)"
3548885,1313435,"G004077","01/02/2001 08:41:21 PM","025XX S RIDGEWAY AV","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","ALLEY",FALSE,FALSE,1013,10,NA,NA,"02",1151819,1886834,2001,"08/17/2015 03:03:40 PM",41.845345451,-87.718334641,"(41.845345451, -87.718334641)"
3549321,1314780,"G002124","01/01/2001 07:30:00 PM","049XX N CHRISTIANA AV","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",TRUE,FALSE,1713,17,NA,NA,"02",1153201,1932389,2001,"08/17/2015 03:03:40 PM",41.970325256,-87.712051918,"(41.970325256, -87.712051918)"
3549434,1315036,"G004587","01/03/2001 04:00:00 AM","111XX S THROOP ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","ALLEY",FALSE,FALSE,2234,22,NA,NA,"02",1169602,1831145,2001,"08/17/2015 03:03:40 PM",41.692159834,-87.65468564,"(41.692159834, -87.65468564)"
3549857,1316224,"G002184","01/02/2001 02:30:00 AM","048XX W MADISON ST","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","STREET",FALSE,FALSE,1533,15,NA,NA,"02",1144357,1899551,2001,"08/17/2015 03:03:40 PM",41.880385913,-87.745400061,"(41.880385913, -87.745400061)"
3550075,1316687,"G006605","01/04/2001 01:20:20 AM","097XX S JEFFERY AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,431,4,NA,NA,"02",1191167,1841007,2001,"08/17/2015 03:03:40 PM",41.718728885,-87.575416093,"(41.718728885, -87.575416093)"
3550134,1316774,"G006667","01/03/2001 05:00:00 PM","067XX S MERRILL AV","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",FALSE,FALSE,331,3,NA,NA,"02",1191739,1860893,2001,"08/17/2015 03:03:40 PM",41.773283981,-87.57267723,"(41.773283981, -87.57267723)"
3550147,1316791,"G006654","01/03/2001 03:00:00 AM","067XX S MERRILL AV","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",FALSE,FALSE,331,3,NA,NA,"02",1191739,1860893,2001,"08/17/2015 03:03:40 PM",41.773283981,-87.57267723,"(41.773283981, -87.57267723)"
3550212,1316900,"G006452","01/03/2001 10:22:25 PM","028XX N KILPATRICK AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",TRUE,TRUE,2521,25,NA,NA,"02",1144514,1918668,2001,"08/17/2015 03:03:40 PM",41.932842072,-87.744341574,"(41.932842072, -87.744341574)"
3550970,1318406,"G008781","01/05/2001 02:30:00 AM","020XX E 71 ST","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","APARTMENT",TRUE,FALSE,333,3,NA,NA,"02",1191124,1858224,2001,"08/17/2015 03:03:40 PM",41.765974942,-87.575017896,"(41.765974942, -87.575017896)"
3551070,1318553,"G008922","01/03/2001 07:00:00 AM","032XX N LAWNDALE AV","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","APARTMENT",TRUE,TRUE,1732,17,NA,NA,"02",1151115,1921243,2001,"08/17/2015 03:03:40 PM",41.93978108,-87.720015627,"(41.93978108, -87.720015627)"
3551494,1319187,"G009843","01/05/2001 02:05:24 PM","007XX N LECLAIRE AV","0266","CRIM SEXUAL ASSAULT","PREDATORY","STREET",FALSE,FALSE,1531,15,NA,NA,"02",1142256,1904645,2001,"08/17/2015 03:03:40 PM",41.894403704,-87.752988315,"(41.894403704, -87.752988315)"
3551737,1319602,"G012985","01/06/2001 10:43:49 PM","081XX S EXCHANGE AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,422,4,NA,NA,"02",1197288,1851295,2001,"08/17/2015 03:03:40 PM",41.746809938,-87.552655651,"(41.746809938, -87.552655651)"
3551779,1319692,"G009196","01/05/2001 06:00:00 AM","004XX S CLINTON ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,131,1,NA,NA,"02",1172758,1898218,2001,"08/17/2015 03:03:40 PM",41.876146828,-87.641154243,"(41.876146828, -87.641154243)"
3552597,1320917,"G013270","01/07/2001 03:00:00 AM","072XX S TALMAN AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,831,8,NA,NA,"02",1159921,1856480,2001,"08/17/2015 03:03:40 PM",41.761887111,-87.689435598,"(41.761887111, -87.689435598)"
3552635,1320977,"G012907","01/03/2001 06:00:00 PM","008XX W JUNIOR TR","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,2322,19,NA,NA,"02",1170027,1928926,2001,"08/17/2015 03:03:40 PM",41.960471186,-87.650283446,"(41.960471186, -87.650283446)"
3552829,1321291,"G014940","01/08/2001 01:10:00 AM","054XX S LOOMIS ST","0263","CRIM SEXUAL ASSAULT","AGGRAVATED: KNIFE/CUT INSTR","VEHICLE NON-COMMERCIAL",TRUE,FALSE,933,9,NA,NA,"02",1167879,1868764,2001,"08/17/2015 03:03:40 PM",41.795428773,-87.659915976,"(41.795428773, -87.659915976)"
3552867,1321348,"G011310","01/06/2001 03:00:00 AM","054XX S WOOD ST","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","APARTMENT",FALSE,TRUE,932,9,NA,NA,"02",1165307,1868852,2001,"08/17/2015 03:03:40 PM",41.795725157,-87.66934509,"(41.795725157, -87.66934509)"
3552900,1321412,"G013581","01/07/2001 05:00:00 AM","067XX S RHODES AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",TRUE,FALSE,321,3,NA,NA,"02",1181034,1860322,2001,"08/17/2015 03:03:40 PM",41.771970217,-87.611936311,"(41.771970217, -87.611936311)"
3553310,1322185,"G011327","01/06/2001 08:00:00 AM","0000X N LONG AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,1522,15,NA,NA,"02",1140301,1899720,2001,"08/17/2015 03:03:40 PM",41.880924952,-87.760289337,"(41.880924952, -87.760289337)"
3553471,1322426,"G014863","01/07/2001 11:25:00 PM","072XX S PEORIA ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","STREET",TRUE,FALSE,733,7,NA,NA,"02",1171598,1856842,2001,"08/17/2015 03:03:40 PM",41.762632659,-87.64662745,"(41.762632659, -87.64662745)"
3553523,1322519,"G014125","01/07/2001 03:25:56 PM","010XX E 132 ST","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","CHA APARTMENT",FALSE,FALSE,533,5,NA,NA,"02",1185819,1818007,2001,"08/17/2015 03:03:40 PM",41.655741418,-87.595725011,"(41.655741418, -87.595725011)"
3553572,1322603,"G013284","01/07/2001 03:48:00 AM","013XX N MILWAUKEE AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","ALLEY",FALSE,FALSE,1433,14,NA,NA,"02",1164404,1909187,2001,"08/17/2015 03:03:40 PM",41.906427386,-87.671516484,"(41.906427386, -87.671516484)"
3553809,1322987,"G014758","01/07/2001 10:27:18 PM","012XX S SPRINGFIELD AV","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",FALSE,FALSE,1011,10,NA,NA,"02",1150612,1894201,2001,"08/17/2015 03:03:40 PM",41.865585026,-87.722571924,"(41.865585026, -87.722571924)"
3554676,1324640,"G017743","01/09/2001 11:29:42 AM","014XX S KEDVALE AV","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","RESIDENCE",TRUE,FALSE,1011,10,NA,NA,"02",1148995,1892608,2001,"08/17/2015 03:03:40 PM",41.861245057,-87.728549259,"(41.861245057, -87.728549259)"
3554733,1324742,"G006712","01/04/2001 01:00:00 AM","080XX S ARTESIAN AV","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,FALSE,835,8,NA,NA,"02",1161475,1851496,2001,"08/17/2015 03:03:40 PM",41.74817821,-87.683877874,"(41.74817821, -87.683877874)"
3555428,1325982,"G016479","01/06/2001 06:00:00 AM","003XX S CENTRAL AV","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,TRUE,1522,15,NA,NA,"02",1139154,1897769,2001,"08/17/2015 03:03:40 PM",41.875592091,-87.764548579,"(41.875592091, -87.764548579)"
3555550,1326201,"G020877","01/07/2001 03:00:00 PM","025XX W WALTON ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,TRUE,1312,12,NA,NA,"02",1159197,1906273,2001,"08/17/2015 03:03:40 PM",41.898539778,-87.690724014,"(41.898539778, -87.690724014)"
3555679,1326375,"G018529","01/05/2001 10:00:00 PM","056XX S LOOMIS ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,713,7,NA,NA,"02",1167923,1867169,2001,"08/17/2015 03:03:40 PM",41.791050959,-87.659800451,"(41.791050959, -87.659800451)"
3555885,1326663,"G018131","01/09/2001 09:05:00 AM","020XX N LONG AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","ALLEY",FALSE,FALSE,2515,25,NA,NA,"02",1140028,1912653,2001,"08/17/2015 03:03:40 PM",41.916419651,-87.760974966,"(41.916419651, -87.760974966)"
3555906,1326692,"G019392","01/10/2001 03:12:00 AM","016XX N LECLAIRE AV","0273","CRIM SEXUAL ASSAULT","ATTEMPT AGG: KNIFE/CUT INSTR","APARTMENT",FALSE,FALSE,2533,25,NA,NA,"02",1142346,1910329,2001,"08/17/2015 03:03:40 PM",41.909999576,-87.752516428,"(41.909999576, -87.752516428)"
3555938,1326734,"G019229","01/05/2001 01:30:00 AM","067XX S KING DR","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,FALSE,322,3,NA,NA,"02",1180033,1860656,2001,"08/17/2015 03:03:40 PM",41.772909729,-87.615595415,"(41.772909729, -87.615595415)"
3557225,1328613,"G018991","01/09/2001 02:00:00 AM","001XX S LAVERGNE AV","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","OTHER",FALSE,FALSE,1533,15,NA,NA,"02",1143241,1899019,2001,"08/17/2015 03:03:40 PM",41.878946945,-87.749511238,"(41.878946945, -87.749511238)"
3557587,1329141,"G021679","01/11/2001 04:05:00 AM","024XX W ARTHINGTON ST","0263","CRIM SEXUAL ASSAULT","AGGRAVATED: KNIFE/CUT INSTR","ALLEY",FALSE,FALSE,1135,11,NA,NA,"02",1160077,1896005,2001,"08/17/2015 03:03:40 PM",41.870345338,-87.687775531,"(41.870345338, -87.687775531)"
3558409,1330353,"G025694","01/12/2001 06:37:55 PM","003XX N STATE ST","0264","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER DANG WEAPON","RESIDENCE",FALSE,FALSE,1831,18,NA,NA,"02",1176264,1902405,2001,"08/17/2015 03:03:40 PM",41.887557885,-87.628155238,"(41.887557885, -87.628155238)"
3558965,1331127,"G027040","01/13/2001 11:38:06 AM","101XX S INDIANA AV","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",TRUE,FALSE,511,5,NA,NA,"02",1179340,1837477,2001,"08/17/2015 03:03:40 PM",41.709319651,-87.618841212,"(41.709319651, -87.618841212)"
3559008,1331179,"G026631","01/13/2001 06:00:00 AM","028XX N DAMEN AV","0264","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER DANG WEAPON","RESIDENCE",FALSE,FALSE,1931,19,NA,NA,"02",1162565,1918865,2001,"08/17/2015 03:03:40 PM",41.933023202,-87.678000165,"(41.933023202, -87.678000165)"
3559094,1331287,"G023909","01/12/2001 04:12:06 AM","004XX W 79 ST","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","HOTEL/MOTEL",TRUE,FALSE,621,6,NA,NA,"02",1174440,1852575,2001,"08/17/2015 03:03:40 PM",41.750860761,-87.636337818,"(41.750860761, -87.636337818)"
3559148,1331356,"G027568","01/11/2001 09:00:00 AM","014XX W 105 ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,2212,22,NA,NA,"02",1168337,1835084,2001,"08/17/2015 03:03:40 PM",41.702996348,-87.659204125,"(41.702996348, -87.659204125)"
3559473,1331757,"G026618","01/13/2001 08:00:00 AM","007XX W 48 PL","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",TRUE,FALSE,935,9,NA,NA,"02",1172224,1872748,2001,"08/17/2015 03:03:40 PM",41.806266779,-87.643865597,"(41.806266779, -87.643865597)"
3559767,1332147,"G028332","01/13/2001 08:00:00 PM","041XX N TROY ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,FALSE,1724,17,NA,NA,"02",1154687,1927325,2001,"08/17/2015 03:03:40 PM",41.956399628,-87.706723956,"(41.956399628, -87.706723956)"
